Date - Order Date,Order - Number,Item - SKU,Item - Qty,Item - Name,Amount - Order Total,Amount - Order Tax,Carrier - Service Requested,Date - Ship By Date,
03-06-2026 21:20,200014553335196,WTB - 000000 - 07622202045578 - UKUS - 1,1,"Cadbury Dairy Milk Easter Favourites Chocolate Sharing Pouch 335g, Imported from Britain",32.66,1.06,Value,03-10-2026 20:00,31.6
03-06-2026 20:37,200014427409557,WTB - 000000 - 05000159569170 - UKUS - 1,1,"Twix Milk Chocolate Easter Egg 170g, Imported from Britain",28.82,0,Value,03-10-2026 20:00,28.82
03-06-2026 21:36,112-9241690-9569813,STB - 271025 - B004G969PQ - UKUS - 3,1,Schwartz Classic Roast Lamb Gravy 26g,14.94,0,FreeEconomy Econ US Dom,03-11-2026 17:00,14.94
03-06-2026 21:15,112-3003598-5028246,STB - 131125 - B0189X69GS - UKUS - 3,1,Ktc Castor Oil - 1 x 250ml,22.27,1.7,FreeEconomy Econ US Dom,03-11-2026 17:00,20.57
03-06-2026 21:09,111-8706475-3661023,STB - 271025 - B09SGF18R3 - UKUS - 3,1,Marks and Spencers Percy Pig Part Time 150g with Real Fruit Juices from M&S,17.78,1.28,FreeEconomy Econ US Dom,03-11-2026 17:00,16.5
03-06-2026 20:21,114-5237828-3438641,STB - 041125 - B01LWLK5HN - UK-US - 3,1,Sweet Piccalilli essential Waitrose 275g - Pack of 4,34.59,0,FreeEconomy Econ US Dom,03-11-2026 17:00,34.59
03-06-2026 20:32,114-9130216-1669005,STB - 271025 - B01LYQ4CST - UKUS - 3,1,Alpecin Double Effect Shampoo(200ml) - German,37.29,3.42,FreeEconomy Econ US Dom,03-11-2026 17:00,33.87
03-06-2026 20:35,112-3454363-4774606,STB - 100226 - B07K1PJTFV - UKUS - 3,1,Nestlé Nescafe Dolce Gusto Coffee Pods - Decaffeinated Café au Lait Flavor - Choose Quantity (1 Pack (16 Capsules)),21.46,0.21,FreeEconomy Econ US Dom,03-11-2026 17:00,21.25
03-06-2026 22:08,112-0006481-9587468,STB - 041125 - B08L71CNHT - UK-US - 7,1,Millions Tube Cola - 60g - Pack of 4,34.66,3.01,FreeEconomy Econ US Dom,3/17/2026 5:00:00 PM,31.65
03-06-2026 22:08,112-1639612-2207451,STB - 271025 - B01M3R59WD - UKUS - 3,1,Marks & Spencer M&S Cured Ox Tongue 184g Made in the UK,26.44,0,FreeEconomy Econ US Dom,03-11-2026 17:00,26.44
